description,industry,level,size,line_code,value
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Other services,1,total,D0201,720
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",total,0,total,D0201,20244
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",total,0,6–19 employees,D0202,5463
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",total,0,20–49 employees,D0202,1692
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",total,0,50–99 employees,D0202,597
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",total,0,100+ employees,D0202,567
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Agriculture, forestry, & fishing",1,total,D0202,1134
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Agriculture,2,total,D0202,861
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Commercial fishing,2,total,D0202,6
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Forestry & logging,2,total,D0202,54
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Agriculture, forestry, & fishing support services",2,total,D0202,213
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Mining,1,total,D0202,18
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Manufacturing,1,total,D0202,1281
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Food, beverage, & tobacco",2,total,D0202,291
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Textile, clothing, footwear, & leather",2,total,D0202,78
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Wood & paper product,2,total,D0202,174
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Printing, publishing, & recorded media",2,total,D0202,72
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Petroleum, coal, chemical, & associated product",2,total,D0202,117
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Non-metallic mineral product,2,total,D0202,30
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Metal product,2,total,D0202,177
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Transport and industrial machinery & equipment,2,total,D0202,198
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Other machinery & equipment,2,total,D0202,63
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Other manufacturing,2,total,D0202,78
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Electricity, gas, water, & waste services",1,total,D0202,30
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Construction,1,total,D0202,939
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Wholesale trade,1,total,D0202,738
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Machinery & equipment wholesaling,2,total,D0202,183
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Other wholesale trade,2,total,D0202,555
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Retail trade,1,total,D0202,930
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Accommodation & food services,1,total,D0202,987
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Transport, postal, & warehousing",1,total,D0202,234
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Information media & telecommunications,1,total,D0202,75
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Publishing,2,total,D0202,24
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Motion picture,2,total,D0202,30
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Telecommunications,2,total,D0202,21
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Financial & insurance services,1,total,D0202,114
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Finance,2,total,D0202,57
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Insurance,2,total,D0202,3
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Auxiliary,2,total,D0202,57
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Rental, hiring, & real estate services",1,total,D0202,171
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)","Professional, scientific, & technical services",1,total,D0202,636
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Computer systems design,2,total,D0202,93
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Other professional scientific,2,total,D0202,546
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Administrative & support services,1,total,D0202,300
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Education & training,1,total,D0202,117
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Health care & social assistance,1,total,D0202,249
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Arts & recreation services,1,total,D0202,93
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",Other services,1,total,D0202,264
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with terms of one year or less (including lines of credit)",total,0,total,D0202,8319
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",total,0,6–19 employees,D0203,13929
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",total,0,20–49 employees,D0203,3783
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",total,0,50–99 employees,D0203,1074
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",total,0,100+ employees,D0203,888
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Agriculture, forestry, & fishing",1,total,D0203,2316
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Agriculture,2,total,D0203,1647
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Commercial fishing,2,total,D0203,33
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Forestry & logging,2,total,D0203,186
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Agriculture, forestry, & fishing support services",2,total,D0203,450
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Mining,1,total,D0203,48
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Manufacturing,1,total,D0203,2538
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Food, beverage, & tobacco",2,total,D0203,519
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Textile, clothing, footwear, & leather",2,total,D0203,108
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Wood & paper product,2,total,D0203,288
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Printing, publishing, & recorded media",2,total,D0203,159
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Petroleum, coal, chemical, & associated product",2,total,D0203,180
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Non-metallic mineral product,2,total,D0203,96
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Metal product,2,total,D0203,432
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Transport and industrial machinery & equipment,2,total,D0203,492
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Other machinery & equipment,2,total,D0203,90
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Other manufacturing,2,total,D0203,174
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Electricity, gas, water, & waste services",1,total,D0203,93
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Construction,1,total,D0203,2646
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Wholesale trade,1,total,D0203,1206
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Machinery & equipment wholesaling,2,total,D0203,258
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Other wholesale trade,2,total,D0203,945
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Retail trade,1,total,D0203,2055
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Accommodation & food services,1,total,D0203,2589
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Transport, postal, & warehousing",1,total,D0203,942
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Information media & telecommunications,1,total,D0203,123
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Publishing,2,total,D0203,33
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Motion picture,2,total,D0203,45
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Telecommunications,2,total,D0203,42
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Financial & insurance services,1,total,D0203,192
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Finance,2,total,D0203,93
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Insurance,2,total,D0203,3
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Auxiliary,2,total,D0203,96
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Rental, hiring, & real estate services",1,total,D0203,465
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year","Professional, scientific, & technical services",1,total,D0203,1563
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Computer systems design,2,total,D0203,144
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Other professional scientific,2,total,D0203,1419
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Administrative & support services,1,total,D0203,546
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Education & training,1,total,D0203,351
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Health care & social assistance,1,total,D0203,1107
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Arts & recreation services,1,total,D0203,195
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",Other services,1,total,D0203,696
"At the end of the last financial year, which of the following types of outstanding debt did this business have? loans with term of more than one year",total,0,total,D0203,19674
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",total,0,6–19 employees,D0204,7350
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",total,0,20–49 employees,D0204,1419
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",total,0,50–99 employees,D0204,273
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",total,0,100+ employees,D0204,108
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Agriculture, forestry, & fishing",1,total,D0204,1575
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Agriculture,2,total,D0204,1269
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Commercial fishing,2,total,D0204,9
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Forestry & logging,2,total,D0204,42
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Agriculture, forestry, & fishing support services",2,total,D0204,258
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Mining,1,total,D0204,12
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Manufacturing,1,total,D0204,945
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Food, beverage, & tobacco",2,total,D0204,201
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Textile, clothing, footwear, & leather",2,total,D0204,33
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Wood & paper product,2,total,D0204,45
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Printing, publishing, & recorded media",2,total,D0204,63
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Petroleum, coal, chemical, & associated product",2,total,D0204,66
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Non-metallic mineral product,2,total,D0204,18
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Metal product,2,total,D0204,225
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Transport and industrial machinery & equipment,2,total,D0204,198
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Other machinery & equipment,2,total,D0204,15
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Other manufacturing,2,total,D0204,81
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Electricity, gas, water, & waste services",1,total,D0204,24
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Construction,1,total,D0204,1119
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Wholesale trade,1,total,D0204,375
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Machinery & equipment wholesaling,2,total,D0204,60
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Other wholesale trade,2,total,D0204,315
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Retail trade,1,total,D0204,1095
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Accommodation & food services,1,total,D0204,1563
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Transport, postal, & warehousing",1,total,D0204,261
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Information media & telecommunications,1,total,D0204,24
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Publishing,2,total,D0204,3
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Motion picture,2,total,D0204,12
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Telecommunications,2,total,D0204,6
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Financial & insurance services,1,total,D0204,33
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Finance,2,total,D0204,15
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Insurance,2,total,D0204,0
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Auxiliary,2,total,D0204,21
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Rental, hiring, & real estate services",1,total,D0204,267
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans","Professional, scientific, & technical services",1,total,D0204,333
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Computer systems design,2,total,D0204,33
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Other professional scientific,2,total,D0204,303
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Administrative & support services,1,total,D0204,234
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Education & training,1,total,D0204,231
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Health care & social assistance,1,total,D0204,624
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Arts & recreation services,1,total,D0204,120
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",Other services,1,total,D0204,312
"At the end of the last financial year, which of the following types of outstanding debt did this business have? mortgage loans",total,0,total,D0204,9153
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",total,0,6–19 employees,D0205,18540
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",total,0,20–49 employees,D0205,5508
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",total,0,50–99 employees,D0205,1782
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",total,0,100+ employees,D0205,1572
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Agriculture, forestry, & fishing",1,total,D0205,1383
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Agriculture,2,total,D0205,831
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Commercial fishing,2,total,D0205,21
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Forestry & logging,2,total,D0205,141
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Agriculture, forestry, & fishing support services",2,total,D0205,390
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Mining,1,total,D0205,78
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Manufacturing,1,total,D0205,3819
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Food, beverage, & tobacco",2,total,D0205,786
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Textile, clothing, footwear, & leather",2,total,D0205,222
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Wood & paper product,2,total,D0205,390
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Printing, publishing, & recorded media",2,total,D0205,159
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Petroleum, coal, chemical, & associated product",2,total,D0205,336
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Non-metallic mineral product,2,total,D0205,141
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Metal product,2,total,D0205,639
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Transport and industrial machinery & equipment,2,total,D0205,675
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Other machinery & equipment,2,total,D0205,183
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Other manufacturing,2,total,D0205,288
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Electricity, gas, water, & waste services",1,total,D0205,108
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Construction,1,total,D0205,3879
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Wholesale trade,1,total,D0205,2679
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Machinery & equipment wholesaling,2,total,D0205,831
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Other wholesale trade,2,total,D0205,1848
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Retail trade,1,total,D0205,3051
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Accommodation & food services,1,total,D0205,3330
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Transport, postal, & warehousing",1,total,D0205,999
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Information media & telecommunications,1,total,D0205,255
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Publishing,2,total,D0205,72
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Motion picture,2,total,D0205,102
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Telecommunications,2,total,D0205,81
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Financial & insurance services,1,total,D0205,321
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Finance,2,total,D0205,117
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Insurance,2,total,D0205,27
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Auxiliary,2,total,D0205,177
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Rental, hiring, & real estate services",1,total,D0205,576
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers","Professional, scientific, & technical services",1,total,D0205,2976
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Computer systems design,2,total,D0205,582
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Other professional scientific,2,total,D0205,2397
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Administrative & support services,1,total,D0205,945
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Education & training,1,total,D0205,411
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Health care & social assistance,1,total,D0205,1314
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Arts & recreation services,1,total,D0205,267
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",Other services,1,total,D0205,1005
"At the end of the last financial year, which of the following types of outstanding debt did this business have? trade creditors or suppliers",total,0,total,D0205,27402
"At the end of the last financial year, which of the following types of outstanding debt did this business have? capital or financing leases and hire purchase agreements",total,0,6–19 employees,D0206,8181
